Fecha,Sucursal,Region,Vendedor,Cliente,Producto,Categoria,Metodo_Pago,ID_Venta,Cantidad,Precio_Unitario,Total
2024-10-11,Bilbao,Norte,Carlos,Nuevo,Zapatos,Ropa,Tarjeta,27,10,147.8,1478.0
2024-03-09,Barcelona,Este,Ana,Recurrente,Pantalones,Ropa,Transferencia,28,1,162.3,162.3
2024-07-06,Madrid,Centro,Luis,Nuevo,Cafetera,Hogar,Efectivo,29,3,76.57,229.71
2024-01-26,Zaragoza,Noreste,Marta,Recurrente,Lámpara,Hogar,Efectivo,30,13,44.98,584.74
2024-03-17,Sevilla,Sur,Ana,Recurrente,Laptop,Electrónica,Transferencia,31,4,198.88,795.52
2024-03-12,Valencia,Este,Carlos,Nuevo,Silla,Hogar,Transferencia,32,15,61.94,929.1
2024-03-11,Barcelona,Este,Marta,Recurrente,Auriculares,Electrónica,Efectivo,33,13,87.75,1140.75
2024-01-14,Sevilla,Sur,Marta,Nuevo,Chaqueta,Ropa,Efectivo,34,5,108.97,544.85
2024-10-14,Zaragoza,Noreste,Luis,Nuevo,Laptop,Electrónica,Efectivo,35,4,116.59,466.36
2024-01-20,Bilbao,Norte,Ana,Recurrente,Auriculares,Electrónica,Efectivo,36,1,20.24,20.24
2024-11-16,Malaga,Sur,Ana,Nuevo,,Ropa,Efectivo,37,9,176.69,1590.21
2024-09-20,Valencia,Este,Marta,Recurrente,Humidificador,Hogar,Tarjeta,38,15,126.75,1901.25
2024-05-21,Sevilla,Sur,Marta,Recurrente,Smartphone,Electrónica,Tarjeta,39,13,62.65,814.45
2024-05-22,Sevilla,Sur,Carlos,Nuevo,Auriculares,Electrónica,Tarjeta,40,1,25.57,25.57
2024-08-20,Madrid,Centro,Carlos,Recurrente,Lámpara,Hogar,Efectivo,41,7,94.02,658.14
2024-03-24,Sevilla,,Luis,Recurrente,Chaqueta,Ropa,Transferencia,42,19,41.97,797.43
2024-01-15,Bilbao,Norte,Ana,Recurrente,Pantalones,Ropa,Tarjeta,43,15,31.79,476.85
2024-10-22,Barcelona,Este,Ana,Nuevo,Humidificador,Hogar,Efectivo,44,14,35.79,501.06
2024-10-25,Valencia,Este,Luis,Nuevo,Silla,Hogar,Transferencia,45,1,185.07,185.07
2024-08-01,Barcelona,Este,Carlos,Nuevo,Pantalones,Ropa,Efectivo,46,14,24.18,338.52
2024-12-07,Valencia,Este,Luis,Recurrente,,Hogar,Efectivo,47,15,53.37,800.55
2024-10-12,Madrid,Centro,Ana,,Smartphone,Electrónica,Efectivo,48,15,48.26,723.9
2024-02-14,Bilbao,Norte,Marta,Nuevo,Laptop,Electrónica,Transferencia,49,15,191.13,2866.95
2024-12-09,Sevilla,Sur,Ana,Recurrente,Cafetera,Hogar,Efectivo,50,4,136.21,544.84
